Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
MIS324,A,IS Proje Yonetimi,İşletme Fakültesi,6,MELİKE NUR FINDIKOĞLU,"Perşembe | 10:40 - 13:30
"
MKTG201,A,Pazarlama,İşletme Fakültesi,6,ZEYNEP MÜGE GÜZEL,"Çarşamba | 09:40 - 12:30
"
MKTG201,B,Pazarlama,İşletme Fakültesi,6,BİGE SAATÇİOĞLU,"Perşembe | 10:40 - 13:30
"
MKTG201,C,Pazarlama,İşletme Fakültesi,6,BİGE SAATÇİOĞLU,"Pazartesi | 08:40 - 11:30
"
MKTG311,A,Pazarlama Araştırması,İşletme Fakültesi,6,ZEYNEP MÜGE GÜZEL,"Cuma | 09:40 - 12:30
"
MKTG312,A,Reklamcılık ve Bütünsel Pazarlama İletişimi,İşletme Fakültesi,6,CEREN HAYRAN ŞANLI,"Salı | 08:40 - 11:30
"
MKTG313,A,Pazarlama Stratejileri,İşletme Fakültesi,6,MÜNİR TOLGA AKÇURA,"Cuma | 09:40 - 12:30
"
MKTG314,A,Tüketici Davranışları,İşletme Fakültesi,6,BİGE SAATÇİOĞLU,"Pazartesi | 12:40 - 15:30
"
MKTG315,A,Uluslararası Pazarlama,İşletme Fakültesi,6,XIAOHAN WEN,"Perşembe | 13:40 - 16:30
"
MKTG417,A,İşletmeler Arası Pazarlama,İşletme Fakültesi,6,VOLKAN YENİARAS,"Pazartesi | 11:40 - 14:30
"
OPER202,A,Operasyon Yönetimi,İşletme Fakültesi,6,BAHRİYE CESARET,"Salı | 08:40 - 11:30
Cuma | 18:40 - 19:30
"
OPER202,B,Operasyon Yönetimi,İşletme Fakültesi,6,BAHRİYE CESARET,"Pazartesi | 15:40 - 18:30
Cuma | 18:40 - 19:30
"
OPER202,C,Operasyon Yönetimi,İşletme Fakültesi,6,EYLEM KOCA,"Çarşamba | 15:40 - 18:30
Cuma | 08:40 - 09:30
"
OPER312,A,Tedarik Zinciri Yönetimi,İşletme Fakültesi,6,EYLEM KOCA,"Çarşamba | 08:40 - 11:30
"
OPER314,A,Hizmet Operasyonları Yönetimi,İşletme Fakültesi,6,BO WEI,"Perşembe | 13:40 - 16:30
"
AI390,A,İstem Mühendisliği,Mühendislik Fakültesi,4,HÜSEYİN ULUSOY,"Çarşamba | 12:40 - 15:30
"
CE101,A,Teknik Resim,Mühendislik Fakültesi,4,PINAR SEYREK,"Cuma | 14:40 - 17:30
"
CE101,B,Teknik Resim,Mühendislik Fakültesi,4,PINAR SEYREK,"Cuma | 09:40 - 12:30
"
CE102,A,İnşaat Mühendisliğine Giriş,Mühendislik Fakültesi,2,ZEYNEP BAŞARAN BUNDUR,"Salı | 16:40 - 18:30
"
CE112,A,Statik,Mühendislik Fakültesi,6,HADI VALIZADEH,"Perşembe | 12:40 - 14:30
Cuma | 16:40 - 18:30
"
CE203,A,Mukavemet,Mühendislik Fakültesi,6,TANER YILMAZ,"Pazartesi | 12:40 - 14:30
Salı | 16:40 - 18:30
"
CE205,A,Yapı Malzemeleri,Mühendislik Fakültesi,6,ZEYNEP BAŞARAN BUNDUR,"Salı | 08:40 - 10:30
Çarşamba | 08:40 - 10:30
"
CE205L,A,Yapı Malzemesi - Lab.,Mühendislik Fakültesi,0,ZEYNEP BAŞARAN BUNDUR,"Perşembe | 16:40 - 18:30
"
CE205L,B,Yapı Malzemesi - Lab.,Mühendislik Fakültesi,0,ZEYNEP BAŞARAN BUNDUR,"Perşembe | 14:40 - 16:30
"
CE205L,C,Yapı Malzemesi - Lab.,Mühendislik Fakültesi,0,ZEYNEP BAŞARAN BUNDUR,"Cuma | 16:40 - 18:30
"
CE205L,D,Yapı Malzemesi - Lab.,Mühendislik Fakültesi,0,ZEYNEP BAŞARAN BUNDUR,"Perşembe | 08:40 - 10:30
"
CE205L,E,Yapı Malzemesi - Lab.,Mühendislik Fakültesi,0,ZEYNEP BAŞARAN BUNDUR,"Cuma | 14:40 - 16:30
"
CE205L,F,Yapı Malzemesi - Lab.,Mühendislik Fakültesi,0,ZEYNEP BAŞARAN BUNDUR,"Perşembe | 12:40 - 14:30
"
CE208,A,Yapı İşletmesi,Mühendislik Fakültesi,6,SENEM SEYİS KAZAZOĞLU,"Pazartesi | 08:40 - 10:30
Çarşamba | 08:40 - 10:30
"
CE211,A,Dinamik,Mühendislik Fakültesi,4,DERYA DENİZ,"Cuma | 08:40 - 11:30
"
CE217,A,İnşaat Mühendisliğinde Olasılık ve İstatistik,Mühendislik Fakültesi,6,BEKİR OĞUZ BARTIN,"Pazartesi | 16:40 - 18:30
